user_id,note_id,timestamp,interaction_type,session_id
synthetic_user_0168,8706bbb8-8343-4edc-9af4-244b9cad76aa,2025-10-02 19:02:13,view,session_001026
synthetic_user_0197,8706bbb8-8343-4edc-9af4-244b9cad76aa,2025-10-03 08:03:08,view,session_001216
synthetic_user_0190,09593622-ad83-4d14-8236-17bea51dbb13,2025-10-03 20:32:46,view,session_001170
synthetic_user_0190,09593622-ad83-4d14-8236-17bea51dbb13,2025-10-03 20:39:03,download,session_001170
synthetic_user_0190,09593622-ad83-4d14-8236-17bea51dbb13,2025-10-03 20:42:21,bookmark,session_001170
synthetic_user_0124,e72c3d3b-cf36-4cc4-9a40-d8cc5d28df84,2025-10-03 23:15:51,view,session_000754
synthetic_user_0086,a18002e2-24a3-4da4-b558-ea8cadcb047e,2025-10-03 23:21:25,view,session_000506
synthetic_user_0124,e72c3d3b-cf36-4cc4-9a40-d8cc5d28df84,2025-10-03 23:26:28,download,session_000754
synthetic_user_0124,e72c3d3b-cf36-4cc4-9a40-d8cc5d28df84,2025-10-03 23:32:57,like,session_000754
synthetic_user_0124,e72c3d3b-cf36-4cc4-9a40-d8cc5d28df84,2025-10-03 23:38:55,bookmark,session_000754
synthetic_user_0130,ea97dfce-6731-4b1d-9b03-485d04de4867,2025-10-04 04:25:07,view,session_000789
synthetic_user_0036,85526add-cd5a-4107-a07e-62ff3f493082,2025-10-04 05:13:13,view,session_000179
synthetic_user_0153,830353af-6497-4bc7-bab8-08114b64b682,2025-10-04 05:27:44,view,session_000937
synthetic_user_0036,85526add-cd5a-4107-a07e-62ff3f493082,2025-10-04 05:28:44,download,session_000179
synthetic_user_0067,c5310615-4076-41e9-9064-736593600471,2025-10-04 06:47:37,view,session_000347
synthetic_user_0057,98a77293-8faf-4d27-8248-6eb91f481d8f,2025-10-04 08:20:48,view,session_000293
synthetic_user_0046,7c1af9a0-cf09-4356-8c0d-d762fbb21208,2025-10-04 08:26:01,view,session_000222
synthetic_user_0045,40a8032b-e43c-43dc-ba5f-d650f1c0a979,2025-10-04 23:12:18,view,session_000221
synthetic_user_0045,40a8032b-e43c-43dc-ba5f-d650f1c0a979,2025-10-04 23:19:55,download,session_000221
synthetic_user_0040,fbb68aab-9b3b-4e24-9109-ea047f927347,2025-10-04 23:52:07,view,session_000201
synthetic_user_0040,fbb68aab-9b3b-4e24-9109-ea047f927347,2025-10-05 00:06:13,download,session_000201
synthetic_user_0040,fbb68aab-9b3b-4e24-9109-ea047f927347,2025-10-05 00:13:09,like,session_000201
synthetic_user_0037,e72c3d3b-cf36-4cc4-9a40-d8cc5d28df84,2025-10-05 00:35:32,view,session_000184
synthetic_user_0037,e72c3d3b-cf36-4cc4-9a40-d8cc5d28df84,2025-10-05 00:41:46,download,session_000184
